Guid,Name,CurrencyIsoCode,SBQQ__ConstrainedOption__c,SBQQ__Active__c,SBQQ__CheckPriorPurchases__c,SBQQ__ConfiguredSKU__c,SBQQ__ConstrainingOption__c,SBQQ__OptionConstraintGroup__c,SBQQ__Type__c,OptionConstraintExternalID__c,Constraint_products__c
42fe1548-90de-4961-bbd0-86d03d41d04e,RBA Self Hosted Use Case Accelerator Requires RBA Self Hosted Instance,USD,a6964cc9-1637-4217-9da1-ea15f305dbd0,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,192c9a69-1897-4584-a292-6eb1daa32881,#N/A,Dependency,#N/A,PD Runbook Automation Self Hosted - Use Case Accelerator is constrained By PD Runbook Automation Self Hosted - Single Instance
4c2151dd-272f-4d25-a2fc-3570c9ea61a7,RBA Self Hosted Accelerator Cluster Requires RBA Self Hosted Instance,USD,a672e4d8-223f-4010-9843-2ef33460a8ac,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,192c9a69-1897-4584-a292-6eb1daa32881,#N/A,Dependency,#N/A,PD Runbook Automation Self Hosted - Install & Config Accelerator - Cluster is constrained By PD Runbook Automation Self Hosted - Single Instance
555a73ef-c035-47b5-886c-fecb9536938e,Runbook Automation Quickstart Requires RBA Add-On,USD,1c28aafa-30d9-41a1-8ea5-f41b38e978aa,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,1f378e8e-863f-4478-b6fd-8ae8ccc93068,#N/A,Dependency,#N/A,Runbook Automation SaaS - Quick Start is constrained By PagerDuty Runbook Automation Add-On
605a2efc-3674-4971-a846-f2b0c6da3f48,Enable Professional Services Quickstart Selection For Full User Tiered,USD,15b0f346-79f0-4414-94b8-547cdfabbffa,true,false,535e5662-2ff3-4ad2-b1ed-75341d9bb251,060bf2ca-e79b-4535-a654-0755aa801032,#N/A,Dependency,#N/A,Runbook Automation SaaS - Quick Start is constrained By Runbook Automation SaaS - Full User Tiered
782d923c-137c-4d49-a080-41f6d3028a8c,Rundeck Workbench Requires Rundeck Action,USD,18233cb8-e1e9-430d-8967-8f135d17b69f,false,false,#N/A,d208c4a2-a450-4b46-a4e4-1e3752751a49,#N/A,Dependency,#N/A,is constrained By PD Automation Actions
8a3244a4-382e-40cf-b61c-3cb8c8b06419,RBA Self Hosted TAM Requires RBA Self Hosted Single Instance,USD,b4e2015e-b42e-47a7-8b10-8bfdf2a190ee,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,192c9a69-1897-4584-a292-6eb1daa32881,#N/A,Dependency,#N/A,PD Runbook Automation Self Hosted - Technical Account Manager (TAM) Support Services is constrained By PD Runbook Automation Self Hosted - Single Instance
940c1546-0f2f-4cae-9837-b33b87eb347a,RBA Self Hosted Accelerator Cluster Requires RBA Self Hosted Cluster,USD,a672e4d8-223f-4010-9843-2ef33460a8ac,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,4e309619-b339-48d4-a408-d7612dac3d14,#N/A,Dependency,#N/A,PD Runbook Automation Self Hosted - Install & Config Accelerator - Cluster is constrained By PD Runbook Automation Self Hosted - 1 Cluster
a0388d30-5b0f-4cbc-8780-0db2a62f7c54,Platinum Single Instance needs a Cluster,USD,5d2612cb-8a40-412e-a643-c1d07ed7084a,true,false,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,404d672a-eaef-4960-ba9b-49dbe7b49579,#N/A,Dependency,#N/A,PD Process Automation On Prem Platinum- Single Instance is constrained By PD Process Automation On Prem Platinum - 2 Clusters
a4a1916b-6c52-4e99-a6ea-0a2c64c66fbe,Enable Professional Services On Demand 10 Hours Selection For Full User Tiered,USD,34fc6d4c-b03e-47bd-af7a-aafece62a3e6,true,false,535e5662-2ff3-4ad2-b1ed-75341d9bb251,060bf2ca-e79b-4535-a654-0755aa801032,#N/A,Dependency,#N/A,Professional Services - On Demand (10 hours) is constrained By Runbook Automation SaaS - Full User Tiered
a9d414dd-c695-4a88-a3e8-6c754392aadc,Enable Runbook Runner User Tiered When Runbook Full User Seleceted,USD,0566d95b-f27a-4331-9eaf-64798738497e,true,false,535e5662-2ff3-4ad2-b1ed-75341d9bb251,bf341b75-23c1-48ec-9dfd-7794c2ae138b,#N/A,Dependency,#N/A,Runbook Automation SaaS - Run Only User Tiered is constrained By Runbook Automation SaaS - Full User
a9ef6d26-ae9b-4146-91f5-59530bf54c31,Automation Actions Can Not Be Sold With Runbook Automation Add-On,USD,d208c4a2-a450-4b46-a4e4-1e3752751a49,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,1f378e8e-863f-4478-b6fd-8ae8ccc93068,#N/A,Exclusion,#N/A,PD Automation Actions is constrained By PagerDuty Runbook Automation Add-On
c0adaa22-9960-40fa-85dc-9b7cc2b77bbc,Enable Runbook Automation Runner User When Runbook Automation Full User Selected,USD,7fc5939a-e1f9-4c95-bdf7-0d35ec05ed1b,true,false,535e5662-2ff3-4ad2-b1ed-75341d9bb251,bf341b75-23c1-48ec-9dfd-7794c2ae138b,#N/A,Dependency,#N/A,Runbook Automation SaaS - Run Only User is constrained By Runbook Automation SaaS - Full User
c7e503c4-7ef3-4a3b-99e5-612f0fe5c034,Enable Runbook Runner User When Runbook Full User Tiered Seleceted,USD,7fc5939a-e1f9-4c95-bdf7-0d35ec05ed1b,true,false,535e5662-2ff3-4ad2-b1ed-75341d9bb251,060bf2ca-e79b-4535-a654-0755aa801032,#N/A,Dependency,#N/A,Runbook Automation SaaS - Run Only User is constrained By Runbook Automation SaaS - Full User Tiered
c7faef06-338f-46b8-929c-f1cff68d0f9b,WFA Tier 6 Requires Cloud Automation Fee,USD,d1cdf7d9-a1ce-46bf-9898-0fbb0c7cc553,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,df1b222d-d238-4e42-a72e-d19400501c10,#N/A,Dependency,#N/A,PagerDuty Workflow Automation (previously Catalytic) Unlimited Workflows is constrained By PagerDuty Cloud Automation Platform Fee (SaaS)
cae8a772-dbbd-431f-9a43-7c149034eea2,Enterprise Platinum Cluster Add-on,USD,fa72d7b4-73bf-4f58-84a8-9559e41fcd7b,true,false,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,404d672a-eaef-4960-ba9b-49dbe7b49579,#N/A,Dependency,#N/A,PD Process Automation On Prem Platinum - Additional Cluster is constrained By PD Process Automation On Prem Platinum - 2 Clusters
