Guid,CurrencyIsoCode,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c,LookupQueryExternalID__c
4269f4f9-1ac3-4800-82e5-ad72fae52961,USD,ProductCode__c,Field Value,equals,true,25315d68-a669-4834-96c9-4f25a9a42b58,CPQ_Zuora_Mapping_Monthly__c,true,SBQQ__ProductCode__c,Quote Line,#N/A,a7z0t0000004S8hAAE20190804230348Z20190804230345Z
44ba1ce5-e048-4ba6-b871-2279c10fe127,USD,MaxDiscount__c,Field Value,less or equals,false,9a75457f-a6fe-4036-8bdc-06c1cffd3507,ExistingBusinessAddOn__c,true,TotalDiscountCustom__c,Quote Line,#N/A,#N/A
498c3733-3c77-4874-94f9-49b189cb2e0c,USD,MaxQty__c,Field Value,less or equals,false,1168e43a-a6b7-484f-8f90-44bba76ae339,NewBusinessBase__c,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
4cb8c49b-0a55-4a06-90fa-3917b7d27da8,USD,MaxTerm__c,Field Value,less or equals,true,6fcc06a4-fb8d-4669-84f9-b6cefeab24a5,Discount_Approval_Matrix_FY26__c,true,SubscriptionTerminMonths__c,Quote,#N/A,#N/A
5332180c-40d3-4379-970c-58dd896c6bc3,USD,MinDiscount__c,Field Value,greater or equals,false,1168e43a-a6b7-484f-8f90-44bba76ae339,NewBusinessBase__c,true,TotalDiscountCustom__c,Quote Line,#N/A,#N/A
5708a084-3af6-48bb-be28-d34448a9eb1e,USD,MaxTerm__c,Field Value,less or equals,true,d0127b1b-66a1-4376-8725-e3d1d7f0a57b,Usage_Discount_Approval_FY26__c,true,SubscriptionTerminMonths__c,Quote,#N/A,#N/A
64c5ba89-ca83-44ed-8209-dd8631a5c365,USD,MinimumDiscount__c,Field Value,greater or equals,false,ff0870fd-eb6e-44fb-be9f-a8b7b53a9f4f,AI_Ops_Discount_Approval_Matrix__c,true,TotalDiscountCustom__c,Quote Line,#N/A,#N/A
64d6bc2b-2be5-43a7-a717-4d0180602288,USD,MaxDiscount__c,Field Value,less or equals,false,0911f057-08f5-4f7a-a829-14852c7d9a71,Discount_Approval_Matrix_Rundeck_Cluster__c,true,TotalDiscountCustom__c,Quote Line,#N/A,#N/A
65b7c8b1-567a-4591-9c09-4f340089dffe,USD,NonAnnual__c,Field Value,equals,true,2a96b1d4-721d-47d8-9546-a8c99661ed0f,CPQ_Zuora_Mapping_Annual__c,true,NonAnnual__c,Quote,#N/A,a7z0t0000004S2dAAE20190801154647Z20190801154644Z
6eda8f91-d5a1-47a9-8961-b8a8930a463c,USD,MaxQty__c,Field Value,less or equals,false,e5d2a435-1c35-497b-a937-2624e9c24ff2,Discount_Approval_Matrix_FY22__c,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
70b5a948-d6a0-4787-97e9-efd5a2d34a8d,USD,MinDiscount__c,Field Value,greater or equals,false,4badb129-d881-4f61-80f4-0e4afc6ff249,Discount_Approval_Matrix_Rundeck_User__c,true,TotalDiscountCustom__c,Quote Line,#N/A,#N/A
75e4105f-9cba-4ca7-b951-7334c55ee0e4,USD,MinTerm__c,Field Value,greater or equals,true,d0127b1b-66a1-4376-8725-e3d1d7f0a57b,Usage_Discount_Approval_FY26__c,true,SubscriptionTerminMonths__c,Quote,#N/A,#N/A
7b88fe09-1d8b-4b65-9272-5ccf3bf0c615,USD,MinQty__c,Field Value,greater or equals,false,4badb129-d881-4f61-80f4-0e4afc6ff249,Discount_Approval_Matrix_Rundeck_User__c,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
81408778-773e-4c2d-9d25-0d69fcc86707,USD,MinimumListPrice__c,Field Value,greater or equals,false,ff0870fd-eb6e-44fb-be9f-a8b7b53a9f4f,AI_Ops_Discount_Approval_Matrix__c,true,SBQQ__ListPrice__c,Quote Line,#N/A,#N/A
