Guid,Name,CurrencyIsoCode,SBQQ__Active__c,SBQQ__AdvancedCondition__c,SBQQ__ConditionsMet__c,SBQQ__ErrorMessage__c,SBQQ__EvaluationEvent__c,SBQQ__EvaluationOrder__c,SBQQ__LookupMessageField__c,SBQQ__LookupObject__c,SBQQ__LookupProductField__c,SBQQ__LookupRequiredField__c,SBQQ__LookupTypeField__c,SBQQ__Scope__c,SBQQ__Type__c,ProductRuleExternalID__c
d96f7d9f-1938-4423-b1c9-587aebaf1983,Legacy SKUs Can't Be Purchase With AIOPs,USD,true,#N/A,All,Legacy SKU can't be purchased with AIOps,Save,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
dbf3399c-d389-40ab-a643-d9be78658827,Filter CS Business when Business Selected,USD,true,(1 OR 2) AND 3,Custom,"When Business or Business Tiered is Selected, Only Customer Service Business available for Selection.  Please deselect Business for all Base Products Menu.",Always,70.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
e0e3ac6b-e299-43d5-99b6-df508e97ac34,Runbook Automation Full User Minimum Validation-Newbusiness,USD,true,#N/A,All,You must have a minimum of 10 Full Users.,Always,50.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
e593dadc-cbca-4711-8d19-89f36004e92a,Restore Base Products for No Business,USD,true,#N/A,Any,Business Removed-> Restores Non Business Base Products.,Edit,60.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
e6f39ea7-60bb-4b85-bc48-3b1aa3ecd138,Add-ons for Clusters,USD,true,#N/A,All,Add-on Products are not allowed with Single Instance,Edit,51.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
e7c3a5a2-cb71-4f8b-bcea-5573ae0821c7,Prevent Visibility Add-on Subscription on Renewal,USD,true,#N/A,All,Visibility and Visibility Site License Add-on  is no longer available. You will need to remove this subscription from the renewal quote by setting Quantity to 0.,Always,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
e9a0e6ab-050e-41a4-a60b-fbdbbe8eb893,Restore PD Analytics And MIR If Legacy Team Or Business Present,USD,false,#N/A,Any,PD Analytics and MIR can only be sold with Legacy Business Or Team,Edit,125.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
f4f4b6bd-7600-4d0a-8c87-4b2c58bc276c,Time-based Alert Grouping SKUs Can't Be Purchase With AIOPs,USD,true,#N/A,All,Time Based Alert Grouping SKU can't be purchased with AIOps,Save,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
fb35d713-a355-43bb-8e62-a3516feba10d,Remove Premium Support,USD,true,#N/A,Any,Premium Support Added,Save,85.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
fb7d2eec-ac7a-41b3-a839-e101bd740d75,Professional Services On Demand Maximum Validation,USD,true,#N/A,All,You can only purchase a Quantity of 1 Professional Services On Demand Product,Always,50.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
fc1d0419-19a6-410e-91bd-cb21c9c87f98,Add Premium Support,USD,true,#N/A,All,Premium Support Added,Edit,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
fff77191-4cc9-44cc-b209-5be296d946c4,Can have CS base with Customer Service add on SKU,USD,true,#N/A,All,#N/A,Always,52.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
