Guid,CurrencyIsoCode,SBQQ__ProductRule__c,SBQQ__Active__c,SBQQ__AscendingNestedLevel__c,SBQQ__DescendingActionNesting__c,SBQQ__DescendingNestedLevel__c,SBQQ__ProductFeature__c,SBQQ__Product__c,SBQQ__RuleEvaluationEvent__c,SBQQ__RuleType__c,ConfigRuleExternalID__c
982b7013-8ef5-44eb-8be6-344172f91c34,USD,e593dadc-cbca-4711-8d19-89f36004e92a,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
a13c893f-f05a-4835-949a-8e3c95a9ded5,USD,82cc1fe0-983d-462f-9176-be32ca42a569,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
a2bc9514-eab6-409e-ba8b-15623f7e8e79,USD,8693f151-f8d8-4a4d-aa7c-37b3cec5e90d,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Always,Selection,#N/A
ab262f19-27e4-4195-b1ec-74e063dbd928,USD,d1fa6501-1f91-4f6d-ae13-6030ac2ee0d9,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
abd94075-dea8-48e9-ad61-b64c05502195,USD,7b642d91-d25a-4411-828f-d944ee018a10,true,#N/A,#N/A,#N/A,ca984c90-46ec-403e-879a-92eb5e66736d,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Validation,#N/A
b3c35f41-de1e-4900-8eda-601757f5a26b,USD,8693f151-f8d8-4a4d-aa7c-37b3cec5e90d,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
b5db099f-fb06-4cf4-94f7-8c842458ff87,USD,fc1d0419-19a6-410e-91bd-cb21c9c87f98,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
b734ab6a-e72a-4cef-904e-8b3eaa674914,USD,24723c84-42d9-4228-bb37-22972c183b19,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
c4152625-cdd0-4ea7-b3fc-e26d6167b6b3,USD,e9a0e6ab-050e-41a4-a60b-fbdbbe8eb893,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
cae609ac-2594-4cfb-b021-73d36a500618,USD,2a0820a2-9a0b-41ce-9937-02a3f02af456,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
cd0436ad-82c7-42e3-9bf0-3d918c281f87,USD,30c454a1-de02-41bd-af93-73cab3492681,true,#N/A,#N/A,#N/A,#N/A,#N/A,Always,Selection,#N/A
cdeadc8e-8977-4f3a-9db7-93fbe788fcd4,USD,dbf3399c-d389-40ab-a643-d9be78658827,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
cdfa7c58-04a6-4b49-8dd5-5073261c797a,USD,1df3c7b0-4a1e-4a40-a0ac-721ca0bc989f,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
ce7afadb-9130-4727-9a7e-7847f5506c4d,USD,d2e6a92b-0a3b-4e79-af06-616acfc61149,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Always,Selection,#N/A
d06e45e6-b354-4944-b5d6-3811e61a9a67,USD,24723c84-42d9-4228-bb37-22972c183b19,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
d4ac8f24-1961-46ee-b35a-89b1b51f2b61,USD,0b6b79d9-08c8-48b1-83ad-c4b0acffc7eb,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
d5a19adc-d90e-4a5a-a25c-82f9bf4cdd19,USD,1cdd7d4e-6804-4846-9942-d2de15ed9361,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
d89b3014-221d-4761-9dd0-1a250502960d,USD,687f461d-ec98-4753-9bdb-067983d262b8,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Load,Selection,#N/A
e0994e27-539d-4e52-96e4-d94b862e18eb,USD,1cce16ae-7c02-4a03-8a7f-a243725f9733,true,#N/A,#N/A,#N/A,#N/A,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,Save,Validation,#N/A
e29a1ed9-f5f9-4044-a1f2-d3fd839f24b0,USD,ce45cc44-a08c-48a7-bb19-7f052947e7f9,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
e5d6ae5f-6bc6-455e-8450-f44d8e326be8,USD,93998659-524b-4795-9d04-4ae019730771,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Validation,#N/A
eb02af34-5720-4b50-b4c2-96492c40524e,USD,e593dadc-cbca-4711-8d19-89f36004e92a,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
f190b619-3cb1-4428-a2ae-5d8f36c48166,USD,687f461d-ec98-4753-9bdb-067983d262b8,true,#N/A,#N/A,#N/A,#N/A,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,Load,Selection,#N/A
ffc98c8e-f8d8-4309-949a-5609b8cbb7e8,USD,af97d0ab-c267-47d5-89a5-a884a3c05b32,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
