Guid,Name,CurrencyIsoCode,SBQQ__EffectiveDate__c,SBQQ__LowerBound__c,SBQQ__PriceBook2__c,SBQQ__Price__c,SBQQ__Product__c,SBQQ__UpperBound__c,PriceFormat__c,OverageRate__c,MixedBlockTierOFPrice__c,ProductCode__c
53f77e63-c442-45d2-9e5c-ba888e844707,Team Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,ff2edd6b-8e7a-4a33-9b53-a4ec30838363,1.0,FlatFee,#N/A,#N/A,S2TC-BP-XX-CPQ
54174c79-c543-44ff-9405-43bfedc07171,Tier 4 Team Tiered Legacy Stakeholder,USD,#N/A,3.0,#N/A,240.0,4356d58b-e565-432c-a9a8-37857c10d652,4.0,FlatFee,#N/A,#N/A,S2TL-BP-XX-CPQ
55aa1218-e62f-4022-bb69-9493f172f46c,Professional Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,c5766468-8553-4e45-b120-e92e0cc50e56,1.0,FlatFee,#N/A,#N/A,STPP-BP-XX-CPQ
563e108f-1d82-42a9-8ded-0167ff4fbd3e,Professional Plus Stakeholder Tier 5,USD,#N/A,501.0,#N/A,24000.0,d7c789d5-c096-4b94-8e4f-3794f56d1185,1001.0,FlatFee,#N/A,#N/A,STPPC-BP-XX-CPQ
56908181-3633-416d-aade-eb67bc8b7ee9,Tier 2 PD.Org Tiered Legacy Stakeholder,USD,#N/A,1.0,#N/A,240.0,c4e9b6c7-e4b7-41ac-95d7-d2ad231d8090,2.0,FlatFee,#N/A,#N/A,S3TL-BP-XX-CPQ
56b8002f-6f4b-4a29-96c8-b4bde23e29d7,Professional Stakeholder Tier 4,USD,#N/A,251.0,#N/A,1250.0,62738144-95ea-4f3d-bf96-784a1b0a7462,501.0,FlatFee,#N/A,#N/A,PXTSU-BP-MM-CPQ
57504765-48a3-499a-b19b-d271e634afc0,Team Stakeholder Tier 2,USD,#N/A,1.0,#N/A,1800.0,51a01acd-c95b-4c11-a90e-abb5c9167908,51.0,FlatFee,#N/A,#N/A,SHT-BP-XX-CPQ
57734a43-8262-41bd-bb09-820626daf2e6,Stakeholder PD.Org Tier 6,USD,#N/A,1001.0,#N/A,90000.0,5d3f59dc-4a4b-45db-86e6-f5fb568b9b4e,5001.0,FlatFee,#N/A,#N/A,S3PR-BP-XX-CPQ
577feee4-c6ab-4e3c-b6ec-ebc29cc64d3e,Stakeholder PD.Org Tier 6,USD,#N/A,1001.0,#N/A,90000.0,f3f2385c-da26-478c-83df-75f4947d881d,5001.0,FlatFee,#N/A,#N/A,S3PP-BP-XX-CPQ
57cbe93f-3232-4ef7-920f-0cc02944dd48,Professional Plus Stakeholder Tier 6,USD,#N/A,1001.0,#N/A,7500.0,8a4fe5d5-5492-423b-b1f3-7ec4d717ab48,5001.0,FlatFee,#N/A,#N/A,PPTSU-BP-MM-CPQ
59d3873c-0d7f-4f56-a67a-bc25910e9705,Professional Stakeholder User Fee Tier 1,USD,#N/A,0.0,#N/A,0.0,5cce8dad-000a-4f23-bcf6-6ce1dc2d6916,1.0,FlatFee,#N/A,#N/A,PPSX-BP-MM-CPQ
5b274989-92d3-4d68-9d1b-5a209500996a,Professional Plus Stakeholder Tier 2,USD,#N/A,1.0,#N/A,900.0,d7c789d5-c096-4b94-8e4f-3794f56d1185,51.0,FlatFee,#N/A,#N/A,STPPC-BP-XX-CPQ
5b331d93-d7cf-4f52-a399-4d8d58d8aa5b,Business Stakeholder Tier 6,USD,#N/A,1001.0,#N/A,90000.0,ef4348d4-be09-4af5-96db-f3770e9e1691,5001.0,FlatFee,#N/A,#N/A,S2BC-BP-XX-CPQ
5c438190-b3ff-48ce-8aa5-44adef44ba27,Professional Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,5cbffc6b-822e-41d0-a7b7-0b9c89caec16,1.0,FlatFee,#N/A,#N/A,STPPX-BP-XX-CPQ
5c57cf5a-cf59-4350-b9f3-1b40c6ef90de,Business Stakeholder Tier 2,USD,#N/A,1.0,#N/A,900.0,ef4348d4-be09-4af5-96db-f3770e9e1691,51.0,FlatFee,#N/A,#N/A,S2BC-BP-XX-CPQ
5efda861-f479-4890-b388-822ee57699ed,Business Stakeholder Tier 2,USD,#N/A,1.0,#N/A,1800.0,77a61120-afd6-4a1c-ad54-3dafee4636c5,51.0,FlatFee,#N/A,#N/A,S2B-BP-XX-CPQ
60a9c5c6-506c-4729-ae14-9c7babba5b84,Professional Services Migration (Small) Tier 2,USD,#N/A,101.0,#N/A,30000.0,35287239-5c87-443a-bf25-3786d6903253,501.0,FlatFee,#N/A,#N/A,PSVM-SE-SS-CPQ
