Guid,CurrencyIsoCode,SBQQ__Rule__c,SBQQ__FilterType__c,SBQQ__FilterValue__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleTargetsQuote__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedVariable__c,ErrorConditionExternalID__c
6f07afde-34b5-4c29-b579-3ef6aa580b47,USD,8693f151-f8d8-4a4d-aa7c-37b3cec5e90d,Value,#N/A,#N/A,#N/A,equals,true,false,#N/A,#N/A,9e2f856b-5ce7-43e0-8999-124d30ea6864,#N/A
7009883f-e2f6-4fd6-8c4b-26e77c860744,USD,a9a785cf-a547-4f06-ad3c-e35537babae0,Value,1,#N/A,1.0,equals,true,true,RatePlanIsBlank__c,Quote Line,#N/A,#N/A
72860871-afca-4903-979c-504b14904e15,USD,d2e6a92b-0a3b-4e79-af06-616acfc61149,Value,Enterprise,#N/A,10.0,starts with,true,false,SBQQ__ProductName__c,Product Option,#N/A,#N/A
78f7d28c-a729-4448-8c3f-91638c3913fe,USD,a4093f60-79a6-479c-b347-e85d9254800f,Value,#N/A,#N/A,2.0,equals,true,false,#N/A,#N/A,348beeb0-3171-480a-aefe-bdc70e9d7b9f,#N/A
791e72ad-7859-4f98-b53f-3e27097dc19f,USD,d96f7d9f-1938-4423-b1c9-587aebaf1983,Value,0,#N/A,10.0,greater than,true,true,#N/A,#N/A,6ae26dfc-636a-4f42-ba9f-90dda1c5dadb,#N/A
7a7384b5-479c-4135-a9f3-cede24c50ca2,USD,1cce16ae-7c02-4a03-8a7f-a243725f9733,Value,1,#N/A,#N/A,less than,true,false,#N/A,#N/A,e89f274c-b207-45c6-97d4-0d4e5d161aa6,#N/A
7b1cc6c7-7b3b-4a86-8728-90c993994d1f,USD,2da52a79-f301-4f3c-acb7-77967369887b,Value,#N/A,#N/A,40.0,equals,true,false,#N/A,#N/A,48a7ad79-8ab5-4c9c-a954-924412e61f81,#N/A
7b976033-3f18-4dc5-9a6e-7b59cfa6fc61,USD,82cc1fe0-983d-462f-9176-be32ca42a569,Value,0,#N/A,20.0,greater than,true,false,#N/A,#N/A,b55e482e-ef1c-4090-823e-eefcee3ed1a5,#N/A
7c889efb-9236-4abf-aa78-68466883fb13,USD,b3bd2cf0-2f7b-4006-85e0-7acfcb8bc0df,Value,0,#N/A,20.0,greater than,false,true,#N/A,#N/A,dc1991af-b650-4722-a72a-ed67b2c70062,#N/A
7df7109d-0273-4e3e-b413-875f4fbfba51,USD,b308521c-220c-4702-bb9a-7dc9d61dd2c2,Value,#N/A,#N/A,20.0,not equals,true,false,#N/A,#N/A,3ada905e-8cb5-43c5-aad8-b415e03a2878,#N/A
8050f4f2-27c4-4741-ab66-afbb75f235f6,USD,48dfe4ce-6366-4a3c-bc8a-e7f392c1769a,Value,0,#N/A,40.0,equals,false,false,#N/A,#N/A,f1874792-25c9-4c76-816b-1522961e9814,#N/A
824c8a0a-8cb4-4fbd-a9e5-bc7207ac2c9c,USD,a9a785cf-a547-4f06-ad3c-e35537babae0,Value,Premium Success Plus,#N/A,5.0,not equals,true,true,SBQQ__ProductName__c,Quote Line,#N/A,#N/A
841966cb-803d-4021-bec3-e707d2d9068b,USD,e593dadc-cbca-4711-8d19-89f36004e92a,Value,1,#N/A,3.0,less than,true,false,#N/A,#N/A,94ce8fc5-0058-46d5-9a45-8259eaf0c02f,#N/A
87ef73f1-31b9-4f72-835a-e50cd88853c9,USD,dbf3399c-d389-40ab-a643-d9be78658827,Value,Customer Service Business,#N/A,2.0,starts with,true,false,SBQQ__ProductName__c,Product Option,#N/A,#N/A
889d35cb-f9d0-40a3-b553-15093c729045,USD,bbb3fb90-ddd5-47c4-9d1c-522c78e36740,Value,CSVT-BP-XX-CPQ,#N/A,#N/A,equals,true,false,SBQQ__ProductCode__c,Product Option,#N/A,#N/A
8908413b-cb73-4329-8051-2e0ac1dd511a,USD,9d4f9e49-d29b-44c2-b66c-9f290991146b,Value,FALSE,#N/A,40.0,equals,true,true,SalesOpsOverride__c,Quote,#N/A,#N/A
893ed952-35d8-4b01-958c-ca44d0ff3feb,USD,fb7d2eec-ac7a-41b3-a839-e101bd740d75,Value,FALSE,#N/A,40.0,equals,true,true,SalesOpsOverride__c,Quote,#N/A,#N/A
8b9da565-7045-4e6f-b64b-7ddba9a561b9,USD,a5127492-2114-4a3c-a72d-563415e0b952,Value,0,#N/A,20.0,greater than,true,true,#N/A,Quote,9167077a-5cc1-4b69-a07a-4a2f39c8454a,#N/A
8bc3758c-526b-4075-a633-ab49a75ab7f6,USD,011e258a-5645-43be-9aaa-ddf4737ef71e,Value,false,#N/A,1.0,equals,true,false,DealDeskOverride__c,Quote,#N/A,#N/A
8be14213-a9fb-42f7-855a-d5f83cf1b8cf,USD,b3bd2cf0-2f7b-4006-85e0-7acfcb8bc0df,Value,FALSE,#N/A,50.0,equals,false,true,DealDeskOverride__c,Quote Line,#N/A,#N/A
8c2282fc-281a-4d0c-973f-f5e60077e590,USD,a4093f60-79a6-479c-b347-e85d9254800f,Value,1,#N/A,3.0,less than,true,false,#N/A,#N/A,348beeb0-3171-480a-aefe-bdc70e9d7b9f,#N/A
8c8af2ab-4f81-4da2-a385-0de30b3c7aa4,USD,48dfe4ce-6366-4a3c-bc8a-e7f392c1769a,Value,#N/A,#N/A,30.0,equals,false,false,#N/A,#N/A,f1874792-25c9-4c76-816b-1522961e9814,#N/A
8e4a0079-3479-4b49-8c7f-caac7f5b8f6c,USD,5f219a7a-47d7-4709-a19a-d66951e3912c,Value,RESI-BP-XX-CPQ,#N/A,10.0,contains,true,true,SBQQ__ProductCode__c,Quote Line,#N/A,#N/A
